"Periode","Data Inflasi"
"Januari 2003","8.68"
"Februari 2003","7.6"
"Maret 2003","7.17"
"April 2003","7.62"
"Mei 2003","7.15"
"Juni 2003","6.98"
"Juli 2003","6.27"
"Agustus 2003","6.51"
"September 2003","6.33"
"Oktober 2003","6.48"
"November 2003","5.53"
"Desember 2003","5.16"
"Januari 2004","4.82"
"Februari 2004","4.6"
"Maret 2004","5.11"
"April 2004","5.92"
"Mei 2004","6.47"
"Juni 2004","6.83"
"Juli 2004","7.2"
"Agustus 2004","6.67"
"September 2004","6.27"
"Oktober 2004","6.22"
"November 2004","6.18"
"Desember 2004","6.4"
"Januari 2005","7.32"
"Februari 2005","7.15"
"Maret 2005","8.81"
"April 2005","8.12"
"Mei 2005","7.4"
"Juni 2005","7.42"
"Juli 2005","7.84"
"Agustus 2005","8.33"
"September 2005","9.06"
"Oktober 2005","17.89"
"November 2005","18.38"
"Desember 2005","17.11"
"Januari 2006","17.03"
"Februari 2006","17.92"
"Maret 2006","15.74"
"April 2006","15.4"
"Mei 2006","15.6"
"Juni 2006","15.53"
"Juli 2006","15.15"
"Agustus 2006","14.9"
"September 2006","14.55"
"Oktober 2006","6.29"
"November 2006","5.27"
"Desember 2006","6.6"
"Januari 2007","6.26"
"Februari 2007","6.3"
"Maret 2007","6.52"
"April 2007","6.29"
"Mei 2007","6.01"
"Juni 2007","5.77"
"Juli 2007","6.06"
"Agustus 2007","6.51"
"September 2007","6.95"
"Oktober 2007","6.88"
"November 2007","6.71"
"Desember 2007","6.59"
"Januari 2008","7.36"
"Februari 2008","7.4"
"Maret 2008","8.17"
"April 2008","8.96"
"Mei 2008","10.38"
"Juni 2008","11.03"
"Juli 2008","11.9"
"Agustus 2008","11.85"
"September 2008","12.14"
"Oktober 2008","11.77"
"November 2008","11.68"
"Desember 2008","11.06"
"Januari 2009","9.17"
"Februari 2009","8.6"
"Maret 2009","7.92"
"April 2009","7.31"
"Mei 2009","6.04"
"Juni 2009","3.65"
"Juli 2009","2.71"
"Agustus 2009","2.75"
"September 2009","2.83"
"Oktober 2009","2.57"
"November 2009","2.41"
"Desember 2009","2.78"
"Januari 2010","3.72"
"Februari 2010","3.81"
"Maret 2010","3.43"
"April 2010","3.91"
"Mei 2010","4.16"
"Juni 2010","5.05"
"Juli 2010","6.22"
"Agustus 2010","6.44"
"September 2010","5.8"
"Oktober 2010","5.67"
"November 2010","6.33"
"Desember 2010","6.96"
"Januari 2011","7.02"
"Februari 2011","6.84"
"Maret 2011","6.65"
"April 2011","6.16"
"Mei 2011","5.98"
"Juni 2011","5.54"
"Juli 2011","4.61"
"Agustus 2011","4.79"
"September 2011","4.61"
"Oktober 2011","4.42"
"November 2011","4.15"
"Desember 2011","3.79"
"Januari 2012","3.65"
"Februari 2012","3.56"
"Maret 2012","3.97"
"April 2012","4.5"
"Mei 2012","4.45"
"Juni 2012","4.53"
"Juli 2012","4.56"
"Agustus 2012","4.58"
"September 2012","4.31"
"Oktober 2012","4.61"
"November 2012","4.32"
"Desember 2012","4.3"
"Januari 2013","4.57"
"Februari 2013","5.31"
"Maret 2013","5.9"
"April 2013","5.57"
"Mei 2013","5.47"
"Juni 2013","5.9"
"Juli 2013","8.61"
"Agustus 2013","8.79"
"September 2013","8.4"
"Oktober 2013","8.32"
"November 2013","8.37"
"Desember 2013","8.38"
"Januari 2014","8.22"
"Februari 2014","7.75"
"Maret 2014","7.32"
"April 2014","7.25"
"Mei 2014","7.32"
"Juni 2014","6.7"
"Juli 2014","4.53"
"Agustus 2014","3.99"
"September 2014","4.53"
"Oktober 2014","4.83"
"November 2014","6.23"
"Desember 2014","8.36"
"Januari 2015","6.96"
"Februari 2015","6.29"
"Maret 2015","6.38"
"April 2015","6.79"
"Mei 2015","7.15"
"Juni 2015","7.26"
"Juli 2015","7.26"
"Agustus 2015","7.18"
"September 2015","6.83"
"Oktober 2015","6.25"
"November 2015","4.89"
"Desember 2015","3.35"
"Januari 2016","4.14"
"Februari 2016","4.42"
"Maret 2016","4.45"
"April 2016","3.6"
"Mei 2016","3.33"
"Juni 2016","3.45"
"Juli 2016","3.21"
"Agustus 2016","2.79"
"September 2016","3.07"
"Oktober 2016","3.31"
"November 2016","3.58"
"Desember 2016","3.02"
"Januari 2017","3.49"
"Februari 2017","3.83"
"Maret 2017","3.61"
"April 2017","4.17"
"Mei 2017","4.33"
"Juni 2017","4.37"
"Juli 2017","3.88"
"Agustus 2017","3.82"
"September 2017","3.72"
"Oktober 2017","3.58"
"November 2017","3.3"
"Desember 2017","3.61"
"Januari 2018","3.25"
"Februari 2018","3.18"
"Maret 2018","3.4"
"April 2018","3.41"
"Mei 2018","3.23"
"Juni 2018","3.12"
"Juli 2018","3.18"
"Agustus 2018","3.2"
"September 2018","2.88"
"Oktober 2018","3.16"
"November 2018","3.23"
"Desember 2018","3.13"
"Januari 2019","2.82"
"Februari 2019","2.57"
"Maret 2019","2.48"
"April 2019","2.83"
"Mei 2019","3.32"
"Juni 2019","3.28"
"Juli 2019","3.32"
"Agustus 2019","3.49"
"September 2019","3.39"
"Oktober 2019","3.13"
"November 2019","3"
"Desember 2019","2.72"
"Januari 2020","2.68"
"Februari 2020","2.98"
"Maret 2020","2.96"
"April 2020","2.67"
"Mei 2020","2.19"
"Juni 2020","1.96"
"Juli 2020","1.54"
"Agustus 2020","1.32"
"September 2020","1.42"
"Oktober 2020","1.44"
"November 2020","1.59"
"Desember 2020","1.68"
"Januari 2021","1.55"
"Februari 2021","1.38"
"Maret 2021","1.37"
"April 2021","1.42"
"Mei 2021","1.68"
"Juni 2021","1.33"
"Juli 2021","1.52"
"Agustus 2021","1.59"
"September 2021","1.6"
"Oktober 2021","1.66"
"November 2021","1.75"
"Desember 2021","1.87"
"Januari 2022","2.18"
"Februari 2022","2.06"
"Maret 2022","2.64"
"April 2022","3.47"
"Mei 2022","3.55"
"Juni 2022","4.35"
"Juli 2022","4.94"
"Agustus 2022","4.69"
"September 2022","5.95"
"Oktober 2022","5.71"
"November 2022","5.42"
"Desember 2022","5.51"
